bureau,nom_ecole,inscrits,emarges,procurations,abstentions,votants,blancs,nuls,exprimes,oui,non
522,"Ecole Maternelle ""Jacques Prévert""",821,293,13,52,293,3,0,290,150,140
523,"Ecole Maternelle ""Jacques Prévert""",794,240,2,55,240,1,2,237,115,122
524,"Ecole Maternelle ""Jacques Prévert""",913,435,12,47,435,2,1,432,225,207
525,"Ecole Maternelle ""Jacques Prévert""",983,426,16,55,426,1,2,423,236,187
531,"Ecole Elémentaire ""Dervallières Chézine""",996,195,1,80,195,0,0,195,91,104
532,"Ecole Elémentaire ""Dervallières Chézine""",857,204,3,65,204,2,1,201,91,110
533,"Ecole Elémentaire ""Dervallières Chézine""",938,407,25,53,407,3,1,403,200,203
534,"Ecole Elémentaire ""Dervallières Chézine""",967,422,12,54,422,1,1,420,223,197
541,"Ecole Elémentaire ""Fraternité""",1001,465,13,53,465,7,4,454,200,254
542,"Ecole Elémentaire ""Fraternité""",1041,542,19,49,542,1,2,539,273,266
543,"Ecole Elémentaire ""Fraternité""",1019,498,16,52,498,1,5,492,289,203
544,"Ecole Elémentaire ""Fraternité""",959,477,26,48,477,5,0,472,180,292
545,"Ecole Elémentaire ""Fraternité""",971,458,8,51,457,4,0,453,245,208
551,"Ecole Elementaire ""Contrie""",828,394,21,43,394,4,0,390,167,223
552,"Ecole Elementaire ""Contrie""",973,517,7,45,517,4,1,512,254,258
553,"Ecole Elementaire ""Contrie""",936,503,29,43,503,0,4,499,227,272
554,"Ecole Elementaire ""Contrie""",933,413,10,52,413,2,4,407,181,226
555,"Ecole Elementaire ""Contrie""",890,441,16,44,441,1,4,436,206,230
561,"Ecole Maternelle ""Lucie Aubrac""",937,332,10,60,332,1,2,329,166,163
562,"Ecole Maternelle ""Lucie Aubrac""",936,198,7,73,198,1,1,196,89,107
563,"Ecole Maternelle ""Lucie Aubrac""",945,307,8,63,307,2,0,305,125,180
564,"Ecole Maternelle ""Lucie Aubrac""",1008,324,9,68,324,1,0,323,160,163
565,"Ecole Maternelle ""Lucie Aubrac""",985,426,24,55,428,1,4,423,164,259
611,"Ecole Maternelle ""Plantes""",915,446,13,46,446,3,3,440,257,183
612,"Ecole Maternelle ""Plantes""",897,423,19,47,423,6,2,415,227,188
613,"Ecole Maternelle ""Plantes""",899,491,17,40,491,1,1,489,307,182
614,"Ecole Maternelle ""Plantes""",887,448,26,43,448,3,0,445,257,188
615,"Ecole Maternelle ""Plantes""",896,466,27,43,466,2,3,461,290,171
621,"Ecole Maternelle ""Longchamp""",846,419,20,42,419,7,4,408,213,195
622,"Ecole Maternelle ""Longchamp""",915,429,12,48,431,6,6,419,198,221
623,"Ecole Maternelle ""Longchamp""",865,446,10,41,446,3,2,441,239,202
624,"Ecole Maternelle ""Longchamp""",893,453,7,44,453,4,5,444,207,237
625,"Ecole Maternelle ""Longchamp""",903,439,13,46,439,5,2,432,202,230
631,"Groupe Scolaire ""Barberie Mulotière""",935,504,18,43,504,8,4,492,275,217
632,"Groupe Scolaire ""Barberie Mulotière""",894,505,13,38,505,7,4,494,279,215
633,"Groupe Scolaire ""Barberie Mulotière""",895,459,13,43,459,4,5,450,207,243
634,"Groupe Scolaire ""Barberie Mulotière""",907,516,21,39,516,1,2,513,239,274
641,"Ecole Maternelle ""Côte d'Or""",930,497,21,43,497,3,3,491,262,229
642,"Ecole Maternelle ""Côte d'Or""",885,417,12,46,417,2,1,414,195,219
643,"Ecole Maternelle ""Côte d'Or""",906,463,15,44,462,3,2,457,276,181
651,"Ecole Maternelle ""Baut""",892,455,21,43,455,2,4,449,227,222
652,"Ecole Maternelle ""Baut""",895,429,11,46,429,1,4,424,215,209
653,"Ecole Maternelle ""Baut""",896,442,20,45,442,3,3,436,227,209
654,"Ecole Maternelle ""Baut""",903,448,15,45,448,1,1,446,207,239
655,"Ecole Maternelle ""Baut""",935,466,20,46,466,5,5,456,242,214
661,"Ecole Maternelle ""Chauvinière""",883,350,8,53,350,1,2,347,179,168
662,"Ecole Maternelle ""Chauvinière""",895,436,7,45,436,2,6,428,217,211
663,"Ecole Maternelle ""Chauvinière""",897,244,8,65,244,3,1,240,137,103
664,"Ecole Maternelle ""Chauvinière""",890,319,8,57,318,1,2,315,165,150
671,"Ecole Primaire ""Françoise Dolto""",876,252,3,62,252,1,2,249,140,109
672,"Ecole Primaire ""Françoise Dolto""",943,421,5,52,421,3,2,416,198,218
673,"Ecole Primaire ""Françoise Dolto""",950,390,4,56,390,1,1,388,186,202
711,"Ecole Elementaire ""Marsauderies""",948,518,23,43,518,3,2,513,317,196
712,"Ecole Elementaire ""Marsauderies""",924,454,20,47,454,4,3,447,290,157
713,"Ecole Elementaire ""Marsauderies""",937,376,14,56,376,1,0,375,208,167
714,"Ecole Elementaire ""Marsauderies""",999,495,16,50,495,4,1,490,247,243
715,"Ecole Elementaire ""Marsauderies""",980,424,6,55,424,0,0,424,245,179
721,"Ecole Maternelle ""Urbain Leverrier""",1021,411,11,61,411,4,2,405,219,186
722,"Ecole Maternelle ""Urbain Leverrier""",1048,414,5,63,414,0,4,410,211,199
723,"Ecole Maternelle ""Urbain Leverrier""",959,244,5,71,244,0,3,241,132,109
724,"Ecole Maternelle ""Urbain Leverrier""",991,314,5,67,314,3,2,309,179,130
725,"Ecole Maternelle ""Urbain Leverrier""",1008,555,16,45,555,5,3,547,365,182
731,"Ecole Maternelle ""Maurice Macé""",943,540,14,40,540,2,1,537,296,241
732,"Ecole Maternelle ""Maurice Macé""",959,543,14,41,542,2,2,538,318,220
733,"Ecole Maternelle ""Maurice Macé""",889,400,9,48,400,7,5,388,207,181
734,"Ecole Maternelle ""Maurice Macé""",969,553,22,41,553,2,6,545,296,249
735,"Ecole Maternelle ""Maurice Macé""",1007,553,15,45,553,3,3,547,287,260
741,"Ecole Primaire ""Julien Gracq""",976,469,14,50,469,1,5,463,324,139
742,"Ecole Primaire ""Julien Gracq""",980,440,19,54,440,2,6,432,276,156
743,"Ecole Primaire ""Julien Gracq""",1037,465,7,57,465,2,2,461,288,173
744,"Ecole Primaire ""Julien Gracq""",1246,605,13,64,605,4,5,596,343,253
751,"Ecole Elementaire ""Beaujoire""",1041,486,18,55,486,2,2,482,265,217
752,"Ecole Elementaire ""Beaujoire""",1002,446,11,55,446,4,10,432,258,174
753,"Ecole Elementaire ""Beaujoire""",1025,481,12,54,480,4,5,471,278,193
754,"Ecole Elementaire ""Beaujoire""",913,277,2,63,277,1,1,275,156,119
761,"Ecole Maternelle ""Louis Pergaud""",976,571,18,40,571,3,7,561,279,282
762,"Ecole Maternelle ""Louis Pergaud""",934,421,3,51,421,5,3,413,226,187
763,"Ecole Maternelle ""Louis Pergaud""",967,524,9,44,524,1,4,519,335,184
764,"Ecole Maternelle ""Louis Pergaud""",911,416,8,49,416,5,4,407,255,152
765,"Ecole Maternelle ""Louis Pergaud""",1116,630,20,48,630,7,3,620,393,227
